OP,filename,slice,cell_ch,cell_ID,day,treatment,hrs_incubation,repatch,hrs_after_OP,Rs,Rin,resting_potential,max_spikes,Rheobase,AP_heigth,TH,max_depol,max_repol,membra_time_constant_tau,capacitance,comments,rheo_ramp,AP_halfwidth,Rheobse_ramp,Unnamed: 27,rheos_ramp,comment, ,high K concentration,RMP_from_char
OP230109,2311055.abf,S2_D2,5,2311S2c7,D2,high K,24,yes,46.2775,8.594446103,34.11516418,-46.72241211,26,450,75.85449219,-35.69946289,331.7871094,-83.12988281,1.75,105.4117647,32,,0.782910244,,,,,,8 mM,-60.73864365
OP230109,2311059.abf,S2_D2,2,2311S2_D2c2,D2,high K,24,no,46.55611111,12.0591842,102.348767,-65.17333984,5,200,67.28515625,-30.53588867,262.6953125,-84.83886719,9.5,126.6460537,34,,0.804893682,,,,,,8 mM,-61.562229
OP230109,2311059.abf,S2_D2,7,2311S2_D2c7,D2,high K,24,no,46.55611111,9.9176544,93.757403,-62.43896484,22,250,90.99121094,-39.08081055,491.4550781,-74.82910156,13.1,233.293913,37,,0.929070607,,,,,,8 mM,-62.14580154
OP230109,2311059.abf,S2_D2,8,2311S2_D2c8,D2,high K,24,no,46.55611111,7.142124874,66.50965105,-72.97973633,27,300,86.12060547,-37.60986328,445.4345703,-75.31738281,12.4,269.2665341,38,,0.907096786,,,,,,8 mM,-61.44799988
OP230109,2311066.abf,S3_D2,1,2311S3_D2c1,D2,Ctrl,24,no,48.18694444,6.537602029,37.69412217,-72.00927734,26,350,79.90722656,-32.1472168,333.6181641,-80.44433594,11.9,313.0784424,39,,0.870267242,,,,,,8 mM,-61.06909546
OP230109,2311066.abf,S3_D2,2,2311S3_D2c2,D2,Ctrl,24,no,48.18694444,11.26591557,37.29130323,-67.14477539,28,350,86.33422852,-39.41040039,422.6074219,-110.2294922,9.65,382.3593712,40,,0.667487938,,,,,,8 mM,-63.56005234
OP230109,2311066.abf,S3_D2,4,2311S3_D2c4,D2,Ctrl,24,no,48.18694444,9.77584181,35.10349866,-72.38769531,33,400,86.2121582,-43.48144531,450.4394531,-77.51464844,10.25,313.3134328,42,,0.909188407,,,,,,8 mM,-61.22377167
OP230109,2311066.abf,S3_D2,5,2311S3c7,D2,Ctrl,24,yes,48.18694444,10.02771222,36.0568183,-63.64135742,25,350,80.52978516,-36.46240234,330.4443359,-75.68359375,10.2,303.0223028,43,,0.954831846,,,,,,8 mM,-61.23121948
OP230109,2311070.abf,S3_D2,8,2311S3_D2c8,D2,Ctrl,24,no,48.30694444,12.25239064,86.00234923,-66.34521484,36,200,94.09179688,-36.10229492,513.0615234,-80.68847656,16.8,288.372132,50,,0.871664657,,,,,,8 mM,-61.00419952
OP240201,24201004.abf,S1,1,24201S1c1,D1,high K,0,no,9.856111111,14.40803495,91.64961766,-75.64086914,43,200,73.10791016,-34.83886719,219.7265625,-81.42089844,15.25,225.5018051,0,,0.813042715,305.7701923,,,,,8 mM,-71.11311462
OP240201,24201004.abf,S1,2,24201S1c2,D1,high K,0,no,9.856111111,11.21822981,81.65572842,-76.01318359,44,50,80.5480957,-35.16235352,280.7617188,-86.05957031,33.8,310.0667413,1,,0.833160376,397.4232474,,,,,8 mM,-51.18600235
OP240201,24201004.abf,S1,3,24201S1c3,D1,high K,0,no,9.856111111,10.30457154,56.28737597,-56.84204102,24,500,79.40673828,-34.66186523,289.5507813,-75.68359375,18.6,602.2577075,2,,0.937866408,181.7160572,,,,,8 mM,-71.69730026
